Texts,Sentiment
"At this growth rate , paying off the national debt will be extremely painful .",0
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",0
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",0
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",0
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",0
"According to the company , staff will be laid off temporarily when necessary .",0
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,0
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",0
"On the other hand , Finnish sawmills ' production has decreased even more .",0
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",0
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",0
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",0
"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",0
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",0
"Several large stocks tacked lower , however .",0
Sales of mid-strength beer decreased by 40 % .,0
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",0
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,0
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,0
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",0
"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",0
More than a third of the original participants dropped out due to nausea and other side effects .,0
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,0
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,0
The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,0
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",0
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,0
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",0
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,0
Asian traffic declined by 3.4 per cent .,0
Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .,0
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",0
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",0
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",0
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,0
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,0
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,0
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,0
55 workers in +àm+Ñl will be affected by the close-down .,0
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,0
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",0
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",0
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",0
"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",0
"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",0
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",0
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",0
"As a result of the negotiations , the amount of employment contracts to be terminated is 13 .",0
"As a result of the negotiations , the company will terminate total 5 employment contracts .",0
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .",0
GSK announced in November 2008 that it would close its operations in Dartford .,0
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",0
"Metso Foundries Jyvaskyla , Inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in Jyvaskyla , Finland .",0
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",0
"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",0
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",0
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",0
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,0
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",0
"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .",0
"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",0
"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",0
The reduction notice applied to 17 people .,0
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,0
A total of 140 jobs will be reduced at the Raahe Steel Works .,0
As a result some 20 persons will no longer be needed .,0
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",0
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,0
"In addition , the company will reduce a maximum of ten jobs .",0
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,0
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",0
"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .",0
The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,0
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,0
"The staff reduction will start immediately , Glaston added .",0
"The total headcount reduction will be 50 persons , the company said .",0
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",0
The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,0
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",0
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",0
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,0
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",0
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,0
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",0
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",0
- The Group -¦ s result before taxes was EUR -1.9 ( -3.0 ) million .,0
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",0
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0
Finnish media group Talentum has issued a profit warning .,0
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",0
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",0
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",0
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",0
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,0
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,0
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,0
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,0
Earnings per share were at loss of EUR0 .24 .,0
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,0
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,0
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,0
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,0
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",0
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",0
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",0
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",0
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,0
"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",0
Nokia Siemens Networks has struggled to make a profit in the past two years .,0
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,0
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",0
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",0
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",0
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",0
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",0
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",0
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",0
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,0
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",0
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,0
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",0
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",0
Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,0
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,0
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",0
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",0
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,0
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,0
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,0
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",0
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",0
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",0
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",0
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,0
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",0
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,0
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",0
Scanfil has also issued a profit warning .,0
Scanfil issued a profit warning on 10 April 2006 .,0
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",0
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",0
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",0
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,0
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",0
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",0
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",0
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,0
Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,0
"In this case , the effect would be negative in Finland .",0
Nokia will certainly disagree with Qualcomm 's views on the patent situation .,0
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",0
Possible personnel reductions concern approximately 104 people .,0
"That 's what I go to bed worrying about every night , ' he said .",0
The company initially estimated that it would cut up to 30 jobs .,0
The number of bodily injury cases quadrupled in 2000-2006 .,0
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .",0
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",0
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",0
"In Finland , media group Talentum will start personnel negotiations to cut staff in parent company Talentum and publishing unit Talentum media .",0
"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",0
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",0
Applying for summer work is seen as laborious and stressful .,0
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,0
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",0
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,0
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",0
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,0
"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .",0
EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .,0
"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy .",0
"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland .",0
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,0
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",0
In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,0
"In Sweden , there is an oversupply of pharmacies .",0
Incap Furniture is presently negotiating staff cuts .,0
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",0
It is a disappointment to see the plan folded .,0
It is the most awkward thing to use if you 're holding the phone with one hand .,0
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .",0
Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .,0
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",0
"( ADP News ) - Jan 27 , 2009 - Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL : WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland .",0
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",0
"More than 14,000 customers were left powerless .",0
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,0
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",0
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",0
The measures result from weak demand in the shipbuilding industry .,0
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,0
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",0
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",0
They are also upset that some of the machinery and work is taken over to Poland .,0
They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .,0
This is bad news for the barbeque season .,0
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",0
"When the web user clicks on the link contained in the mail , he finds himself on a bogus site that imitates that of his bank , and which retrieves his personal banking data .",0
Viking Line has canceled some services .,0
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",0
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,0
"After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone .",0
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",0
"However , the suspect stole his burgundy Nissan Altima .",0
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",0
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",0
Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,0
Metso estimates the need for personnel reductions to amount to 25 people .,0
Most of the layoffs will be in Finland .,0
"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .",0
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",0
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,0
"The dollar fell , though , against the pound and the yen .",0
The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .,0
The total number of filling stations has been on the decrease recently .,0
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",0
Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,0
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,0
`` Those uncertainties cloud the long-term outlook . '',0
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",0
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",0
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",0
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,0
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",0
